Incident,Call Date,Call Time,Location,Nature,Disposition,Report Number,District
2022363423,12/15/22,13:20:41,ANDOVER RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B1
2022363353,12/15/22,11:57:07,S MAIN CHAPEL WAY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D1
2022363141,12/15/22,8:10:44,AVALON BLVD,122C07 - OVERDOSE,R - WITH REPORT,2022-744679,4C2
2022362970,12/15/22,0:04:56,CHATFIELD TER,122C07 - OVERDOSE,R - WITH REPORT,2022-744660,5B1
2022362842,12/14/22,20:21:36,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022362827,12/14/22,19:58:37,8TH AVE NE/CRAIN HWY N,122C07 - OVERDOSE,R - WITH REPORT,2022-744643,2C1
2022362799,12/14/22,19:25:54,WILLOW ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022362791,12/14/22,19:18:25,OLD COUNTY RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3D1
2022362355,12/14/22,12:35:24,COLLEGE PKWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3D1
2022362261,12/14/22,11:17:53,PASADENA RD/BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022362152,12/14/22,9:45:08,OAK CT,122C07 - OVERDOSE,X - NO REPORT,,4A1
2022362033,12/14/22,7:55:19,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022361773,12/14/22,0:27:49,PATRICK HENRY DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A1
2022361742,12/14/22,0:01:20,FURNACE DR,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-744511,2C2
2022361693,12/13/22,23:05:02,WASHINGTON RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-744508,4B2
2022361682,12/13/22,22:41:49,ROBERTS CT,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B3
2022361600,12/13/22,20:07:25,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+01
2022360594,12/13/22,2:24:06,EASTON SOUTH,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A1
2022360479,12/12/22,23:56:14,FURNACE BRANCH RD E,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022360313,12/12/22,19:19:55,WINBORNE DR,122C07 - OVERDOSE,X - NO REPORT,,2D3
2022360241,12/12/22,18:06:30,ODENTON RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C3
2022360020,12/12/22,14:59:13,ANNAPOLIS RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022359918,12/12/22,13:45:56,BALIOL LN/KING MALCOLM AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C3
2022359815,12/12/22,11:49:44,WOODSIDE TRL,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,4A2
2022359732,12/12/22,10:03:22,TUNGSTON ST,122C07 - OVERDOSE,R - WITH REPORT,2022-744259,2A1
2022359588,12/12/22,7:50:49,ARUNDEL MILLS BLVD/DORSEY RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-744244,5A3
2022359559,12/12/22,7:25:56,EVENING STAR DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022359320,12/11/22,22:46:27,HICKORY WOOD DR/WHISPERING WOODS DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3D3
2022359279,12/11/22,21:04:27,LOUISE TER,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D2
2022359244,12/11/22,20:18:56,FURNACE BRANCH RD E/COUNTRY CLUB DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022359227,12/11/22,19:57:11,HIDDEN BROOK DR/HIDEAWAY LOOP,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3B2
2022359060,12/11/22,16:37:40,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2A3
2022359024,12/11/22,15:57:23,E ORDNANCE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022358954,12/11/22,14:29:23,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D2
2022358939,12/11/22,13:51:53,CRAIN HWY ,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022358867,12/11/22,11:58:39,BRICK CHURCH RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4B2
2022358843,12/11/22,11:22:58,ALLEY 4/W MEADOW RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2A3
2022358797,12/11/22,10:16:43,SOLOMONS ISLAND RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4B2
2022358711,12/11/22,6:43:25,ANNAPOLIS RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5C2
2022358625,12/11/22,2:07:37,TANNER LN,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022358548,12/11/22,0:21:49,HARCOURT AVE,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-744135,5D1
2022358544,12/11/22,0:15:03,CENTRAL AVE W/BIRDSVILLE RD,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-744134,4B1
2022358497,12/10/22,23:24:24,KINGS RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-744129,3A2
2022358491,12/10/22,23:19:30,CIRCLE RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-744128,3A1
2022358444,12/10/22,21:40:14,DUNFIELD CT,122C07 - MISC : OVERDOSE,X - NO REPORT,,5B1
2022358368,12/10/22,20:11:12,SHELLYE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022358364,12/10/22,20:08:47,QUIET WATERS PARK RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4A3
2022358275,12/10/22,18:25:53,1ST AVE/HILLTOP RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022358250,12/10/22,17:58:27,WARFIELD RD/RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022358208,12/10/22,17:12:32,ORCHARD RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-744095,4B2
2022358202,12/10/22,17:02:51,GILL ST,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-744094,5C3
2022358124,12/10/22,15:21:32,CLARK STATION RD,122C07 - MISC : OVERDOSE,X - NO REPORT,,5C1
2022358056,12/10/22,13:28:09,W SHORE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3A2
2022358036,12/10/22,13:07:52,CALAWASSE RD,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-744065,4B3
2022357894,12/10/22,10:10:08,OLD MILL RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-744039,3B3
2022357872,12/10/22,9:44:46,STRIDER CT,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5A3
2022357838,12/10/22,9:04:20, W NURSERY RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2B1
2022357804,12/10/22,8:12:10,BENESCH CIR,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-744031,2D3
2022357485,12/9/22,19:07:43,2ND ST,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743989,4C1
2022357380,12/9/22,16:57:12,MAIN ST,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,4C1
2022357358,12/9/22,16:43:00,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-743978,2B3
2022357272,12/9/22,15:42:08,NB RT295/EB RT100,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5A3
2022357240,12/9/22,15:07:54,CRAIN HWY N/8TH AVE NW,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022357208,12/9/22,14:45:09,POPLAR POINT RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4A2
2022357037,12/9/22,12:36:19,HARMANS RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5A3
2022356922,12/9/22,10:55:10,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2B3
2022356854,12/9/22,9:41:56,CONWAY RD/TWO RIVERS BLVD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5D1
2022356829,12/9/22,9:24:48,DORCHESTER BLVD,122C07 - MISC : OVERDOSE,X - NO REPORT,,5.00E+03
2022356628,12/9/22,5:51:02,PHILLIP DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022356409,12/8/22,22:37:44,AUSTIN DR,122C07 - MISC : OVERDOSE,X - NO REPORT,,4B2
2022356404,12/8/22,22:25:27,AVERILL CT,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022356321,12/8/22,20:14:51,SUNLIGHT CIR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2B3
2022356152,12/8/22,17:05:38,MILLWRIGHT CT,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022356143,12/8/22,17:00:53,KINGSBERRY DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3D3
2022356132,12/8/22,16:44:58,DURNESS CT,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5B1
2022356033,12/8/22,15:28:27,HAMMONDS LN,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743821,2A3
2022355839,12/8/22,12:58:03,NOTTINGHAM DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022355251,12/8/22,1:48:58,GREEN HOLLY DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3D2
2022355205,12/8/22,0:38:33,LAUREL FORT MEADE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5A1
2022355178,12/8/22,0:07:49,JOANNE RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743733,3C3
2022355145,12/7/22,23:18:43,SEVERN ORCHARD CIR,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-743735,5B2
2022354909,12/7/22,17:19:58,TALBOT RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4C3
2022354786,12/7/22,15:34:09,LAUREL FORT MEADE RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5A1
2022354701,12/7/22,14:24:46,ANNAPOLIS MALL,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022354633,12/7/22,13:15:20,DULANEY LN,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2C2
2022354635,12/7/22,13:14:30,201ST ST,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3A2
2022354615,12/7/22,12:58:21,CROFTON CTR,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-743655,5D1
2022354493,12/7/22,11:49:45,MOUNT ZION MARLBORO RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743642,4C1
2022354341,12/7/22,9:26:31,JUMPERS HOLE RD/BENFIELD RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3C2
2022354074,12/7/22,3:58:01,BALTIMORE ANNAPOLIS BLVD/CRAIN HWY N,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022354001,12/7/22,1:09:09,WOODHILL DR,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743565,2D1
2022353899,12/6/22,22:48:30,CATHEDRAL PL,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-743554,2D1
2022353873,12/6/22,21:42:44,ANNAPOLIS RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022353839,12/6/22,20:12:09,MAIN CHAPEL WAY,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743543,5D1
2022353781,12/6/22,18:50:05,CRAIN HWY S,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022353393,12/6/22,11:50:28,FUNKE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D2
2022353321,12/6/22,10:44:09,MOUNTAIN RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D2
2022353320,12/6/22,10:44:07,MOUNTAIN RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D2
2022352707,12/5/22,18:58:41,QUEENS PARK RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743397,3A2
2022352639,12/5/22,17:48:13,CHESAPEAKE CENTER DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022352617,12/5/22,17:15:01, JULIANA CIR E,122C07 - MISC : OVERDOSE,X - NO REPORT,,APD
2022352564,12/5/22,16:26:41,CRAIN HWY S,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022352557,12/5/22,16:17:19,AQUAHART RD/RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D2
2022352501,12/5/22,15:44:42,BALTIMORE ANNAPOLIS BLVD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022352404,12/5/22,14:24:52,HARCOURT AVE,122C07 - MISC : OVERDOSE,X - NO REPORT,,5D1
2022352217,12/5/22,11:49:51,BALTIMORE ANNAPOLIS BLVD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022352170,12/5/22,10:42:40,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022351928,12/5/22,6:38:33,WASENA AVE,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-743289,2A1
2022351792,12/5/22,0:59:16,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022351688,12/4/22,21:17:21,SAINT ANDREWS RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743267,3C2
2022351639,12/4/22,19:29:46,ARUNDEL MILLS CIR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5.00E+01
2022351636,12/4/22,19:24:34,CRILLEY RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743259,2D3
2022351546,12/4/22,17:16:34,SLOANE DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022351506,12/4/22,16:34:57,FAYWOOD CT,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743239,2D3
2022351472,12/4/22,15:52:14,HILLSMERE DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,APD
2022351417,12/4/22,14:33:23,CRAIN HWY S,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022351392,12/4/22,13:44:40, HOLLY DR E,122C07 - MISC : OVERDOSE,X - NO REPORT,,3D3
2022351363,12/4/22,13:05:16,FAYWOOD CT,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743217,2D3
2022351330,12/4/22,12:01:53, FAYWOOD AVE,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D3
2022351324,12/4/22,11:57:38, CARRIAGE WALK CT,122C07 - MISC : OVERDOSE,X - NO REPORT,,5A2
2022351257,12/4/22,10:36:17,OLD RIVERSIDE RD,122C07 - MISC : OVERDOSE,X - NO REPORT,,2A3
2022351152,12/4/22,7:49:31, MARGATE DR,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743195,2C2
2022351047,12/4/22,2:17:07,S PAULA ST,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5A1
2022350970,12/4/22,0:32:21, TYDINGS DR,122C07 - MISC : OVERDOSE,X - NO REPORT,,4A2
2022350947,12/4/22,0:05:09,SWEETWATER DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4C2
2022350905,12/3/22,23:12:24,NURSERY RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2B2
2022350899,12/3/22,23:02:12, FURNACE BRANCH RD E,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022350863,12/3/22,21:39:51,CAMP MEADE RD S/MEDICAL BUILDING RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2B1
2022350762,12/3/22,18:54:46,CALDER WAY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5C2
2022350721,12/3/22,17:38:54,COXSWAIN WAY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4A2
2022350618,12/3/22,15:05:30,NOLPARK CT,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3B1
2022350533,12/3/22,13:11:31,EB US50/DAVIDSONVILLE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4B1
2022350515,12/3/22,12:47:59,LAUREL FORT MEADE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5A2
2022350475,12/3/22,12:07:40,PINEY ORCHARD PKWY,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5C3
2022350358,12/3/22,9:26:53,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022350263,12/3/22,6:57:13,LAUREL FORT MEADE RD/RED CLAY RD,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-743071,5A1
2022350236,12/3/22,4:23:37,GATEWATER CT,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-743067,2C2
2022350235,12/3/22,4:12:52,GLEN RIDGE CIR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022350227,12/3/22,3:56:01,LINDERA CT,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-743066,2B3
2022350055,12/2/22,23:00:16,VETERANS HWY,122C07 - MISC : OVERDOSE,X - NO REPORT,,3B3
2022349975,12/2/22,20:56:57,GREAT BEND RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3B1
2022349976,12/2/22,20:56:29,LADY ASTOR CT,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3A2
2022349937,12/2/22,20:06:32,CHURCH ST,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2A1
2022349929,12/2/22,19:48:22,CHESAPEAKE CENTER DR,122C07 - MISC : OVERDOSE,X - NO REPORT,,2C2
2022349888,12/2/22,19:07:01,OLD RIVERSIDE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2A3
2022349872,12/2/22,18:49:43,FARLEY CT N,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3D2
2022349842,12/2/22,18:08:16,COLONY RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3A3
2022349751,12/2/22,16:15:30,RITCHIE HWY,122C07 - MISC : OVERDOSE,X - NO REPORT,,2C1
2022349748,12/2/22,16:12:39,HERALD HARBOR RD,122C07 - MISC : OVERDOSE,X - NO REPORT,,5D3
2022349698,12/2/22,15:20:19,PACKARD AVE,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2B3
2022349647,12/2/22,14:52:13,CRAIN HWY S,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022349559,12/2/22,13:57:46,CHESAPEAKE MOBILE CT,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742996,5A3
2022349379,12/2/22,10:54:02, MAPLE TREE DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022349315,12/2/22,9:59:06,TOWN CENTER BLVD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022349007,12/2/22,2:22:52,HORTONIA POINT DR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022348856,12/1/22,22:12:33,RITCHIE HWY,122C07 - MISC : OVERDOSE,X - NO REPORT,,2A2
2022348853,12/1/22,22:03:22,BLACKWALNUT LN,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4A3
2022348835,12/1/22,21:25:15,DELMONT RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5C1
2022348714,12/1/22,17:58:05,W NURSERY RD,122C07 - MISC : OVERDOSE,X - NO REPORT,,2B1
2022348638,12/1/22,16:18:19,SOUTHERLY RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2A1
2022348602,12/1/22,15:45:13,NB RT10/E ORDNANCE RD,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-742883,2C2
2022348585,12/1/22,15:23:28,S WINCHESTER RD/SEVERN HEIGHTS OVERLOOK,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3D3
2022348564,12/1/22,15:05:55,LITTON DALE LN,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3C2
2022348417,12/1/22,12:49:28,MOUNTAIN RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D2
2022348269,12/1/22,10:34:20,WILD CRANBERRY DR,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-742833,5D3
2022348218,12/1/22,9:45:36,SB RT10/MOUNTAIN RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742817,2D2
2022348106,12/1/22,7:52:36,CRAIN HWY N,122C07 - MISC : OVERDOSE,00 - VOID INCIDENT ENTRY 3,,2C1
2022348105,12/1/22,7:52:30,CRAIN HWY N,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742804,2C1
2022348094,12/1/22,7:45:48, RIVER RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3D1
2022347909,12/1/22,2:04:35,ASHWOOD CT,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742795,3D3
2022347735,11/30/22,21:31:41,GLEN RIDGE RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2C1
2022347691,11/30/22,20:00:37,CHESTNUT TREE DR,122C07 - MISC : OVERDOSE,X - NO REPORT,,3D2
2022347674,11/30/22,19:31:32,SMITHY SQ,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2B3
2022347554,11/30/22,17:19:27,LEITCH LN,122C07 - MISC : OVERDOSE,X - NO REPORT,,4C3
2022347503,11/30/22,16:25:48,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022347385,11/30/22,14:28:19,E ORDNANCE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022347200,11/30/22,11:50:05,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2A1
2022346784,11/30/22,1:50:22,BURLETTA CT,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5C3
2022346658,11/29/22,23:03:30,ANDOVER RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742635,2B1
2022346496,11/29/22,18:30:58,TRAFALGAR CIR,122C07 - MISC : OVERDOSE,00 - VOID INCIDENT ENTRY 3,,5A3
2022346381,11/29/22,16:15:46,SOLOMONS ISLAND RD/EB US50,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022346177,11/29/22,13:39:00,ANNAPOLIS RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5C2
2022345719,11/29/22,6:17:04,CROSSBAY DR,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-742516,5B1
2022345619,11/29/22,2:15:46,OLD MILL RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022345533,11/28/22,23:53:59,KUETHE RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742498,2C1
2022345469,11/28/22,21:38:56,EBONY LN,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-742493,3C3
2022345456,11/28/22,21:26:15,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022345364,11/28/22,19:10:24,LIBERTY CIR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022345342,11/28/22,18:41:15,WEST ST,122C07 - MISC : OVERDOSE,X - NO REPORT,,4A1
2022345338,11/28/22,18:36:07,W SHORE RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3A2
2022344979,11/28/22,12:14:10,ANDOVER RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2B1
2022344461,11/28/22,0:48:04,BARKWOOD RD,122C07 - MISC : OVERDOSE,X - NO REPORT,,2B3
2022344397,11/27/22,22:40:17,HEARNE RD,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742355,4A2
2022344393,11/27/22,22:31:04,COMMISSARY CIR,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5B1
2022344334,11/27/22,20:38:00,OAK MANOR DR,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742342,2D1
2022344318,11/27/22,20:22:46,QUARTERFIELD RD,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5C1
2022344192,11/27/22,17:13:14,RITCHIE HWY,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022344066,11/27/22,13:17:35,ARUNDEL MILLS CIR,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5.00E+01
2022343949,11/27/22,10:11:03,RITCHIE HWY/PASADENA RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022343841,11/27/22,5:42:40,SAND BROOK CT,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5D2
2022343840,11/27/22,5:15:21,FURNACE BRANCH RD E,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022343820,11/27/22,3:43:17,REECE RD,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-742268,5B2
2022343783,11/27/22,2:12:40,NB I97/HAWKINS RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5D3
2022343750,11/27/22,1:27:36,CRAIN HWY N,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5D1
2022343685,11/27/22,0:13:38,HENSLOWE CT,122C05 - MISC : INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3A2
2022343641,11/26/22,23:25:22,6TH ST,122C05 - MISC : INJURED SICK SUBJECT,R - WITH REPORT,2022-742246,2A1
2022343629,11/26/22,23:11:00,CRAIN HWY N,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5D2
2022343579,11/26/22,21:40:01,LAUREL FORT MEADE RD,122C05 - MISC : INJURED SICK SUBJECT,X - NO REPORT,,5A2
2022343538,11/26/22,20:31:16, BENESCH CIR,122C07 - MISC : OVERDOSE,R - WITH REPORT,2022-742232,2D3
