Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Department Of Business and Economic Development/Maryland State Arts Council,Cecil County Arts Council Inc.,21921,2013,83534,"GRANTEE will carry out its function as the official arts council for Cecil County, using COUNCIL funds for administrative and operating expenses, sub granting to local arts organizations, at least $2,000 for Artists in Education programming, and GRANTEE's programs and projects.",Grant,1,06/30/2013 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Health Promotion Administration,Kernan Hospital,21207,2014,443437,Montebello Subsidy,Grant,1,06/30/2014 12:00:00 AM
Department of Planning - MDP - Historic Preservation Loan Program,"Friends of Teackle Mansion, Inc.",21853,2015,104275,"FY 2012 Loan - Rehabilitation of Teackle Mansion, located at 11736 Mansion Street, Princess Anne, Somerset County.",Loan,1,06/30/2015 12:00:00 AM
Department of Housing and Community Development/Maryland Affordable Housing Trust (MAHT),Patuxent Habitat for Humanity,20688,2009,64610,acquire housing,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/Food Services Program,ASSOCIATED CATHOLIC CHARITIES INC,21093,2012,363927.83,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of the Environment/Bay Restoration Fund - Septic Systems,"Mayer Bros., Inc.",21075,2011,115621.5,Septic System Upgrade Program - Vendor Reimbursement,Grant,1,06/30/2011 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Sojourner Douglass College,21205,2011,1037101,Sellinger Formula,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/Innovative Programs,BALTIMORE MONTESSORI INC,21202,2012,178785,CHARTER SCHOOLS,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,John Miller and Juanita Miller,21521,2009,279226.25,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund,"TimberRock Energy Solutions, Inc.",21704,2013,75000,Commercialization Investment,Loan,1,06/30/2013 12:00:00 AM
Maryland Department of Education/Food Services Program,APPALACHIAN PARENT ASSOCIATION INC,21550,2012,2775.48,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration/Mathias Agriculture EE Program,Purgatory Farms,21874-1261,2014,61045,Mathias Agriculture Energy Efficiency grants,Grant,1,06/30/2014 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,Community Conferencing Center,21218,2011,136500,"Grant to support community conferencing services in Baltimore City, and training and technical assistance for community conferencing programs across Maryland.",Grant,1,06/30/2011 12:00:00 AM
State Department of Education/Division of Early Childhood Development,HARFORD COMMUNITY COLLEGE,210151698,2016,54964,Child Care and Development Fund (CCDF) - Block Grant,Grant,1,06/30/2016 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)",21014,2018,4167,Reimbursable funds from MDH for Sexual Assault/Rape Crisis Grant Program (SARC) - Rape Crisis Intervention,Grant,1,06/30/2018 12:00:00 AM
Military Department/Maryland Emergency Management Agency (MEMA),CIVISTA MEDICAL CENTER,20646,2017,117638.79,State Homeland Security Program FFY2014,Grant,1,06/30/2017 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Loyola College,21210,2010,4502555,Sellinger Formula,Grant,1,06/30/2010 12:00:00 AM
Board of Public Works/Miscellaneous Grants to Private Non-Profit Groups,Maryland Zoo in Baltimore,21217,2016,4718209,Funding for daily operations,Grant,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene/Family Health Services & Primary Care,PACT,21244,2011,389259,Medical Day Care,Grant,1,06/30/2011 12:00:00 AM
Resource Conservation Operations,DORCHESTER SOIL CONSERV DIST,21613,2018,129743,DISTRICT OPERATIONS,Grant,1,06/30/2018 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Family Crisis Resource Center, Inc.",21502,2018,174454.08,Victims of Crime Act (VOCA) Victim Assistance Formula Grant Program,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development/Maryland Tourism Development Board,CONFERENCE & VISTORS BUREAU OF MONTG CO MD,20850,2011,218048,Cooperative Marketing Grant Program,Grant,1,06/30/2011 12:00:00 AM
Employment Advancement Right Now (EARN) MD,Maryland Manufacturing Extension Partnership,21045,2018,520000,Provides grants to help businesses cultivate a skilled workforce.,Grant,1,06/30/2018 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,Community Clinic Inc,20855,2012,140000,Access to health care to low-income and uninsured patients in Montgomery County,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Aging/Senior I&A,Washington County Commission on Aging,21740,2017,31220,Senior Information and Assistance,Grant,1,06/30/2017 12:00:00 AM
Judiciary/Department of Family Administration,Women's Law Center - Carroll County,21204,2009,103577,Legal services for victims of domestic violence,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,"Clarence Goddard, III & Elizabeth Goddard",20627,2009,369940,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/Food Services Program,LEARNING TO BLOSSOM CHILDCARE LLC,21213,2012,6372.92,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA) -,ENVIRONMENTAL ENGINEERING & CONSTRUCTION INC,20785,2012,250000,MSBDFA Equity Participation Loan Term Loan,Loan,1,06/30/2012 12:00:00 AM
Department of Housing and Community Development/Foreclosure Mediation,Civil Justice Inc.,21201,2016,150750,Foreclosure Mediation,Grant,1,06/30/2016 12:00:00 AM
Facilities and Capital Equipment,COACH & EQUIP / WINTER GROWTH,21044-1945,2018,93550,COACH & EQUIP - SMALL BUS,Grant,1,06/30/2018 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Miles & Stockbridge,21201,2012,926986.25,Argyle Wilson - Green Ridge SF Property Acq,Grant,1,06/30/2012 12:00:00 AM
Department of Housing and Community Development/Housing Counseling - State Funds,Park Heights Renaissance  Inc,21215,2012,67400,foreclosure/housing counseling activities,Grant,1,06/30/2012 12:00:00 AM
Maryland State Department of Education/CHILDREN AT RISK,MENTAL HEALTH ASSOCIATION OF MARYLAND,21093,2017,253500,Substance Abuse And Mental Health Services,Grant,1,06/30/2017 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Health Promotion Administration,Mary's Center,20009,2016,85905,Comprehensive Family Planning,Grant,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene/ Prevention and Disease Control,Sinai Hospital,21215,2009,111901,Colorectal Cancer Screening,Grant,1,06/30/2009 12:00:00 AM
LEAD HAZARD,ST AMBROSE HOUSING AID,21218,2018,22670,LEAD HAZARD,Grant,1,06/30/2018 12:00:00 AM
LEAD HAZARD,ST AMBROSE HOUSING AID,21218,2018,22670,LEAD HAZARD,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture - Conservation Grants,Foxhole Farm LLC,21635,2015,56699,"NUTRIENT MGT. PLANS, COVER CROP",Grant,1,06/30/2015 12:00:00 AM
Department Of Business and Economic Development/Maryland Enterprise Investment Fund,BRAINSCOPE COMPANY INC,20814,2013,250000,Enterprise Investments - InvestMD,L,1,06/30/2013 12:00:00 AM
Maryland Department of Education/Food Services Program,NEW HORIZON CHILD DEVELOPMENT CENTER INC,20747,2012,192202.96,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Rural Legacy Program,The Conservation Fund,22209,2018,180578.15,Dorco Farms LLC - Part 1 RLA Easement,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,STANLEY GRAIN & FERTILIZER LLC,20872,2016,179514.5,COVER CROP,Grant,1,06/30/2016 12:00:00 AM
Department of Health and Mental Hygiene - DDA - Community Services,"Best Buddies International, Inc.",33131,2015,225000,Best Buddies Citizen and College Program,Grant,1,06/30/2015 12:00:00 AM
Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund,Zuess Inc.,21601,2014,100000,Commercialization Investment,Loan,1,06/30/2014 12:00:00 AM
Department Of Business and Economic Development/MD Biotechnology Center,OPTICAL DIAGNOSTICS INC,20850,2014,79220,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2014 12:00:00 AM
Department Of Business and Economic Development/Maryland Enterprise Investment/Challenge Programs  and Fund,Pulse 8 LLC,21401,2014,500000,Enterprise Investments - InvestMD,Loan,1,06/30/2014 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","TurnAround, Inc. (Baltimore County)",21204,2016,33064.85,Community Sexual Assault Prevention and Awareness,Grant,1,06/30/2016 12:00:00 AM
MARYLAND TOURISM BOARD,Howard County Tourism Council,21043,2018,85699,Maryland Tourism Board Grant,Grant,1,06/30/2018 12:00:00 AM
Commerce/MD State Arts Council,BALTIMORE CLAYWORKS INC,21209,2017,64934,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,WILLIAM BECKWITH JR.,21613-3616,2012,51152,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
State Department of Education/Head Start,Y OF CENTRAL MARYLAND,21204,2016,234431,Head Start - Migrant Education,Grant,1,06/30/2016 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Rape Crisis Intervention Service of Carroll County,21158,2015,52555.75,Sexual Assault Rape Crisis,Grant,1,06/30/2015 12:00:00 AM
Department of Transportation/Highway Safety Operating,WASH REGION ALCOHOL PROGRAM,22102-3038,2011,46700,MOTOR CARRIER SAFETY PROGRAM,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,ENOS STOLTZFUS,21911,2016,94760.85,"OTHER GRANTS, SUBS & CONTRIBUTION",Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Education/Food Services Program,SMART STEPS CHILDRENS CENTERS,21215,2012,8573.64,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Transportation/FACILITIES AND CAPITAL EQUIPMENT,NATIONAL RAILROAD PASSENGER CORP,60673-1236,2014,3738762.1,High-Speed Intercity Passenger Rail (HSIPR) Baltimore & Potomac (B&P) TUNNEL GRANT,Grant,1,06/30/2014 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,The Land Preservation Trust Inc,21031,2017,33310,Scharff Farm Easement,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"Heartly House, Inc.",21705,2015,18000,Sexual Assault Services Program,Grant,1,06/30/2015 12:00:00 AM
Department of Aging/State MD Access Point (MAP),"RTZ Associates, Inc.",94612,2011,83832,MAP Website Design,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"ST WA PROPERTIES, INC.",21643,2011,63267,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,BLUESTEM FARMS LLC,21620,2017,50015,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Transportation/FACILITIES AND CAPITAL EQUIPMENT,National RR Passenger Co.  DBA Amtrack,60673-1236,2017,4380372.51,Northeast Corridor Project,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,THE PLANNING COUNCIL,23513,2014,11813512.66,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Department of Health and Mental Hygiene/Family Health Services & Primary Care,Children's Hospital - D.C.,20010,2011,240947,Medical Genetics & Systems Development,Grant,1,06/30/2011 12:00:00 AM
CHILDREN AT RISK,WHITE MARSH CHILD CARE CENTER,21128,2018,105894,MARYLAND PRE-KINDERGARTEN EXPANSION,Grant,1,06/30/2018 12:00:00 AM
Department of Health and Mental Hygiene - Office of the Secretary,Faith Center for Community Wellness & Advancement,21229,2015,85000,Minority Health & Health Disparities,Grant,1,06/30/2015 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Fisher Law Group,20772,2013,456900,Teter - Warrior Mountain SP Prop Acq,Grant,1,06/30/2013 12:00:00 AM
DEPARTMENT OF AGING/STATE NUTRITION,"UPPER SHORE AGING, INC.",21620,2021,44064,NUTRITION,Grant,1,06/30/2021 12:00:00 AM
Department Of Business and Economic Development/Maryland Tourism Board,MPT FOUNDATION INC,21117,2014,90852,Maryland Tourism Board-General Grant,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/OTHER INSTITUTIONS,MARYLAND ACADEMY OF SCIENCES,21230-3803,2014,873169,STATE AIDED INSTITUTIONS,Grant,1,06/30/2014 12:00:00 AM
Department of Business and Economic Development/Maryland Film Production Rebate Program,Runaway Home Productions,33431,2009,2999873.36,Film Production Rebate Fund,Grant,1,06/30/2009 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Stevenson University,21153,2017,4053449,Sellinger Formula Aid,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/Food Services Program,FAMILY LEAGUE OF BALTIMORE CITY INC,21218-5128,2012,10600,START UP - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture/Cover crop,MATTHEW M HOFF,21996,2013,124534,Cover Crop Grant,Grant,1,06/30/2013 12:00:00 AM
Department of Agriculture/Marketing Spay and Neuter Program,MARYLAND SPCA,21211,2017,104030,Grants To Non-Gov Entities,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Planning/MDP- Heritage Areas Authority,"Friends of the Patapsco Valley and Heritage Greenway, Inc.",21043,2017,51250,FY 2016 & FY 2017 MHAA Grants - Operating Assistance,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,Hollins Terrace,21104-1301,2011,189483,Building retrofits,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/Food Services Program,DON BOSCO CRISTO REY HIGH SCHOOL,20912,2012,75323.04,SECTION 4 - SCHOOL LUNCH,Grant,1,06/30/2012 12:00:00 AM
Department of Business & Economic Development/Maryland Enterprise Investment Fund,ZENOSS INC,21403,2010,151367.16,Enterprise Investment,Loan,1,06/30/2010 12:00:00 AM
Commerce/MD State Arts Council,WASHINGTON COUNTY ARTS COUNCIL,21742,2017,92294,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2017 12:00:00 AM
Department of Human Resources - Social Services Administration & Office of Grants Management,Arc of Baltimore,21212,2015,327348.15,Funds are for Respite Care Services which provide a period of rest to families who provide primary care to family members with disabilities.,Grant,1,06/30/2015 12:00:00 AM
Department of Transportation/Facilities and Capital Equipment,STV INC Total,19518-8713,2011,165804.12,"$165,804.12 - Small Urban and Rural Tech Studies",Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)",21014,2017,178359,Domestic Violence Prevention,Grant,1,06/30/2017 12:00:00 AM
State Department of Education/Head Start,Garrett Co Community Action Comm,21550,2009,69013,Head Start,Grant,1,06/30/2009 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,The Nature Conservancy,21625,2017,313632,Baker Trust Farm Easement,Grant,1,06/30/2017 12:00:00 AM
State Department of Education/Transitional Education Funding,Childrens Center Group At Walkersville,21793,2009,99836,Hoyer,Grant,1,06/30/2009 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,"Land Preservation Trust, Inc.",21285,2009,96257.72,Robert John Martin Easement,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Resource Conservation Operations,Drive Current Inc,92111,2009,51250,,Grant,1,06/30/2009 12:00:00 AM
Maryland State Department of Education/CHILDREN AT RISK,MONTGOMERY HOUSING PARTNERSHIP,20904,2017,183397,21st Century Community Learning Centers,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration - CIF Customer Investment Funded Program,Regional Manufacturing Institute of Maryland (RMI),21152 - 0000,2015,1058744,Next generation energy efficiency contract for industrial sector,Grant,1,06/30/2015 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,The ARC of Northern Chesapeake Region,21001,2013,65000,DDA Infrastructure Services,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/RURAL LEGACY,"The Nature Conservancy (lead), The Conservation Fund",21625,2010,212412.85,Outten Family Farm Easement,Grant,1,06/30/2010 12:00:00 AM
Department of Commerce/MD Economic Development Assistance Authority & Fund,MILLSOURCE INC,83619,2016,250000,MD Economic Development Assistance Authority & Fund,Loan,1,06/30/2016 12:00:00 AM
Maryland State Department of Education - Innovative Programs,Arts Education in MD Schools Alliance,21230,2015,238458,GENERAL FUND -FINE ARTS EDUCATION,Grant,1,06/30/2015 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Women's Law Center of Maryland, Inc.",21204,2018,13762.25,Maryland Victims of Crime,Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Education/Food Services Program,ALLEGANY CO HUMAN RESOURCES DEVEL COMMISSION INC,21502,2012,379746.35,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","HopeWorks of Howard County, Inc.",21045,2016,186082.37,Domestic Violence Protection Program,Grant,1,06/30/2016 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Sexual Assault/Spouse Abuse Resource Center, Inc. (SARC)",21014,2018,5725,Maryland Safe Streets,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,Chris Fitzwater and Clara Fitzwater,21550,2009,629391.6,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Governor's Office for Children/Governor's Office for Children,Maryland Food Bank Inc,21227,2013,160002,Hunger Free Communities Grant,Grant,1,06/30/2013 12:00:00 AM
Maryland Energy Administration/LMI Community Grants,City of Fredrick (FCAA) FY17,21701,2017,170000,Energy efficiency measures for the low and moderate income sector,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/ASSIST TO STATE FOR ED STUDENTS W/DISABILITIES,BEST BUDDIES INTERNATIONAL INC,33131,2013,72324,IDEA-PART B - STATE GRANTS DISCRETIONARY,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/RURAL LEGACY,Patuxent Tidewater Land Trust (lead) & St. Mary's County,20650,2010,500000,F P & M M Veitch Farm Easement,Grant,1,06/30/2010 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,"Gunpowder Valley Conservancy, Inc.",21284,2009,235796.81,Lawrence & Ann Behner Easement,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,"C. Rhodes, Jr & Patricia Rhodes",21617,2009,927368,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Department of Aging/Naturally Occurring Retirement Communities,The Jewish Federation of Greater Washington,20852,2013,168750,Supportive Svs. For Adults in NORCs,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Education/Food Services Program,CHINESE CULTURE & COMMUNITY SERVICE CTR INC,20877,2012,9242.26,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions/Prescription Drug Monitoring - Phase III,"Chesapeake Regional Information System for Our Patients, Inc.",21046,2014,134612.76,Harold Rogers Prescription Drug Monitoring Program,Grant,1,06/30/2014 12:00:00 AM
Maryland State Department of Education - Local Management Boards,Family League of Baltimore City Inc,21218 - 5128,2015,2478978,LMB ADMINISTRATION,Grant,1,06/30/2015 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,FRIENDS & FAMILY ADULT DAY SERVICES INC,21244,2014,54722.81,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Military Department/Maryland Emergency Management Agency,MARYLAND ZOOLOGICAL SOCIETY Total,21217,2011,63176.16,Disaster Assistance,Grant,1,06/30/2011 12:00:00 AM
Maryland State Department of Education/CHILDREN'S CABINET INTERAGENCY FUND,CECIL PARTNERSHIPS FOR CHILDREN YOUTH & FAMILIES,21921,2011,302865,LMB ADMINISTRATION,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,LOVING CARE LLC,20877,2014,104118.94,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Health/Prevention & Health Promotion Administration,"Community Clinic, Inc.",20910,2017,655230,Immigrant Health,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/Food Services Program,LITTLE ANGEL'S LEARNING PALACE DAYCARE CENTER,21224,2012,54438.34,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Planning/MDP - Maryland Heritage Areas Authority,"Heritage Tourism Alliance of Montgomery County, Inc.",20876,2011,127625,"FY 2010 & FY 2011 MHAA Operating Assistance Grants - Operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan.",Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Legal Aid Bureau, Inc., Main Headquarters",21202,2017,25674,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,FELLOWSHIP ADULT MEDICAL TREATMENT DAYCARE LLC,20902,2013,5924,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
State Department of Education/Children at Risk,PARKS & PEOPLE FOUNDATION,21217,2016,340721,21st Century Community Learning Centers,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"PHILIPS, JAMES",21631,2009,51337.39,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,Glen Arden Woods,20706-1522,2013,380000,Building Retrofits,Grant,1,06/30/2013 12:00:00 AM
Maryland Energy Administration/Commercial & Industrial Deep Energy Retrofit Program,Product Support Inc.,20794,2016,120898,Implement Energy Conservation Measures,Grant,1,06/30/2016 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,Mid Shore Community Mediation Center,21601,2016,104899,"Community Mediation Performance Funding at Level 5for the purpose of operating the center according the 10-point model of community mediation, and support to purchase computer equipment so all staff have access to working computers to increase the efficiency and operations of the center, as well as the ability to provide trainings and services at remote locations.",Grant,1,06/30/2016 12:00:00 AM
Department of Housing and Community Development/MultiFamily Energy Efficiency and Housing Affordability Program,Four Rivers Community,20653,2011,115010,energy efficiency activities/products,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,MARYLAND FAMILY NETWORK,21202-4364,2013,937890,BLOCK GRANT- 4% SET ASIDE,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,"Land Preservation Trust, Inc.",21285,2009,946024.81,Pass Family Farm Easement,Grant,1,06/30/2009 12:00:00 AM
Maryland Energy Administration/LMI Community Grants,"Civic Works, Inc.",21213-1199,2014,341790,Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.,Grant,1,06/30/2014 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,DONALD L BEARD,217132026,2016,59786.65,COVER CROP COMMODITY,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Health/Maryland Community Health Resources Commission,The Family Tree,21218,2017,150000,Expand access to health care in underserved communities,Grant,1,06/30/2017 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,"Land Preservation Trust, Inc.",21285,2009,233437.81,Catherine & Mary Gemmill Easement,Grant,1,06/30/2009 12:00:00 AM
Department of Natural Resources/Rural Legacy Program,The Land Preservation Trust Inc,21031,2017,4295,Scharff Farm Easement,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/S.C. District Aids,SOMERSET SOIL CONSERVATION DISTRICT,21853,2013,68318.1,S.C. District Operations-Aides,Grant,1,06/30/2013 12:00:00 AM
Military Department/Maryland Emergency Management Agency (MEMA),JOHNS HOPKINS HOSPITAL,21205,2017,172855.87,FEMA DR4261 Public Assistance,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration/C&I Deep Energy Retrofit Program,Bnos Yisroel of Baltimore,21215-2906,2014,60000,Energy efficiency grants for audits/upgrades in the commercial and industrial sector,Grant,1,06/30/2014 12:00:00 AM
Department of Planning/MHT - Historic Preservation Grant Program (Capital Grants),"Somerset County Historical Trust, Incorporated",21853,2010,50000,"FY 2009 MHT Capital Grant - Second phase restoration, including interior finishes, installation of staircase, insulation, drywall, new flooring, and minor exterior carpentry repairs and A/E services to the Cottman-Pinkett House, located in Princess Anne, MD.",Grant,1,06/30/2010 12:00:00 AM
Department of Transportation/Facilities & Capital Equipment,CSX TRANSPORTATION INC- INTER MODAL FACILITY,30368-6651,2013,288849.81,MARC Agreement,Grant,1,06/30/2013 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,THE ARC OF MONTGOMERY CO INC,20850,2018,125000,MD EXCELS,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/Maryland Agricultural Fair Board,Great Frederick Fair,21705-0604,2009,49000,Discretionary Grant from Md State Fair Board,Grant,1,06/30/2009 12:00:00 AM
Maryland Agricultural Fair Board,THE GREAT FREDERICK FAIR INC,21705,2018,99500,"OTHER GRANTS, SUBS & CONTRIB",Grant,1,06/30/2018 12:00:00 AM
Department of Housing and Community Development/RGGI,Community Assistance Network,21222,2016,109375,RGGI (Weatherization Programs),Grant,1,06/30/2016 12:00:00 AM
Department of Transportation/State System Maintenance,AASHTO,20001,2013,80795,ANNUAL FEE COVERS DEVELOPMENT AND MAINTENANCE COSTS,Grant,1,06/30/2013 12:00:00 AM
Maryland State Department of Education/TRANSITIONAL EDUCATION FUNDING,PEPPERTREE CENTER INC,20874,2011,78000,HOYER,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/S.C. District Operations,WASHINGTON COUNTY SOIL CONSERVATION DISTRICT,21740,2013,293232.09,Soil Conservation District Operations,Grant,1,06/30/2013 12:00:00 AM
Department of Housing & Community Development/Rental Housing Production Program,"Liberty Mews, LP c/o Garrett Co. CAC",21550,2010,250000,funds to assist in acquisition/construct of 36 rental units,Loan,1,06/30/2010 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"TurnAround, Inc. (Baltimore County)",21204-4804,2011,26611.07,Victim Services Specialist,Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Community Advocates for Family & Youth,20791,2017,11822,Legal Services for Crime Victims,Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development - Maryland Tourism Board,Maryland Academy of Sciences,21230 - 3803,2015,618750,Maryland Tourism Board-General Grant,Grant,1,06/30/2015 12:00:00 AM
Maryland Energy Administration/Commercial Renewable Grants,"Williamsport Storage Bins, Inc",21795-1556,2013,50000,Solar,Grant,1,06/30/2013 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Roberta's House, Inc.",21218,2017,90968,Survivors of Homicide Grant,Grant,1,06/30/2017 12:00:00 AM
State Department of Education/Division of Early Childhood Development,FREDERICK COMMUNITY COLLEGE,21702,2016,50112,Child Care and Development Fund (CCDF) - Block Grant,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/Resource Conservation Capital Grants,SUN KYUNG YU,20871,2017,106216.25,"Other Grants, Subs & Contribution",Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,Barrister Court,21201-1850,2011,80000,Building retrofits,Grant,1,06/30/2011 12:00:00 AM
