Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2010-11,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,NEW HOPE ACADEMY,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,NORTHWESTERN HIGH,196,60,31%,*,*,^^,^^," $5,959 "," $5,889 ", * ," $5,567 "," $7,537 ",,,,,,,,
2008-09,Baltimore City,NORTHWESTERN HIGH,218,60,28%,13,22%,47,78%," $5,658 "," $6,357 ", * ," $6,344 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,NORTHWESTERN HIGH,201,50,25%,11,22%,39,78%," $5,668 "," $6,317 ", * ," $6,036 "," $7,782 ",,,,,,,,
2010-11,Baltimore City,NORTHWESTERN HIGH,163,35,22%,*,*,^^,^^," $6,488 "," $8,168 ", * ," $7,611 "," $7,966 ",,,,,,,,
2011-12,Baltimore City,NORTHWESTERN HIGH,154,38,25%,*,*,^^,^^," $6,316 "," $6,693 ", * ," $5,790 "," $8,114 ",,,,,,,,
2012-13,Baltimore City,NORTHWESTERN HIGH,153,17,11%,*,*,^^,^^," $5,908 ", * , * , * ," $8,239 ",,,,,,,,
2013-14,Baltimore City,NORTHWESTERN HIGH,104,17,16%,*,*,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,NORTHWESTERN HIGH,124,14,11%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,NORTHWESTERN HIGH,87,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,NORTHWESTERN HIGH,77,11,14%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,PATTERSON HIGH,211,70,33%,13,19%,57,81%," $6,346 "," $6,222 ", * ," $6,175 "," $7,537 ",,,,,,,,
2008-09,Baltimore City,PATTERSON HIGH,271,74,27%,14,19%,60,81%," $6,697 "," $7,516 ", * ," $7,380 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,PATTERSON HIGH,298,72,24%,16,22%,56,78%," $6,688 "," $7,330 ", * ," $6,666 "," $7,782 ",,,,,,,,
2010-11,Baltimore City,PATTERSON HIGH,336,75,22%,14,19%,61,81%," $6,967 "," $7,125 ", * ," $6,259 "," $7,966 ",,,,,,,,
2011-12,Baltimore City,PATTERSON HIGH,261,53,20%,14,26%,39,74%," $7,126 "," $7,274 ", * ," $7,356 "," $8,114 ",,,,,,,,
2012-13,Baltimore City,PATTERSON HIGH,202,47,23%,*,*,^^,^^," $6,476 "," $5,706 ", * ," $5,706 "," $8,239 ",,,,,,,,
2013-14,Baltimore City,PATTERSON HIGH,146,36,25%,13,36%,23,64%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,PATTERSON HIGH,145,30,21%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,PATTERSON HIGH,200,40,20%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,PATTERSON HIGH,204,36,18%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,PATTERSON HIGH,200,40,20%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,PATTERSON HIGH,190,48,25%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,PATTERSON HIGH,205,25,12%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,PAUL LAURENCE DUNBAR HIGH,100,60,60%,25,42%,35,58%," $7,546 "," $8,085 "," $8,577 "," $6,033 "," $7,537 ",,,,,,,,
2008-09,Baltimore City,PAUL LAURENCE DUNBAR HIGH,125,69,55%,25,36%,44,64%," $7,734 "," $7,568 "," $8,155 "," $7,288 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,PAUL LAURENCE DUNBAR HIGH,145,71,49%,31,44%,40,56%," $7,261 "," $7,443 "," $8,646 "," $6,206 "," $7,782 ",,,,,,,,
2010-11,Baltimore City,PAUL LAURENCE DUNBAR HIGH,108,58,54%,20,35%,38,66%," $7,256 "," $7,339 "," $9,843 "," $7,256 "," $7,966 ",,,,,,,,
2011-12,Baltimore City,PAUL LAURENCE DUNBAR HIGH,121,55,46%,15,27%,40,73%," $7,816 "," $8,088 ", * ," $7,588 "," $8,114 ",,,,,,,,
2012-13,Baltimore City,PAUL LAURENCE DUNBAR HIGH,155,58,37%,23,40%,35,60%," $7,863 "," $7,916 "," $7,489 "," $9,758 "," $8,239 ",,,,,,,,
2013-14,Baltimore City,PAUL LAURENCE DUNBAR HIGH,248,104,42%,37,36%,67,64%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,PAUL LAURENCE DUNBAR HIGH,163,60,37%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,PAUL LAURENCE DUNBAR HIGH,210,99,47%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,PAUL LAURENCE DUNBAR HIGH,190,79,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,PAUL LAURENCE DUNBAR HIGH,206,88,43%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,PAUL LAURENCE DUNBAR HIGH,151,86,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,PAUL LAURENCE DUNBAR HIGH,141,54,38%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,96,22,23%,*,*,^^,^^," $5,789 "," $6,974 ", * , * ," $7,537 ",,,,,,,,
2008-09,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,131,40,31%,*,*,^^,^^," $5,998 "," $6,108 ", * ," $5,677 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,126,38,30%,*,*,^^,^^," $5,928 "," $8,118 ", * ," $7,250 "," $7,782 ",,,,,,,,
2010-11,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,90,20,22%,*,*,^^,^^," $6,851 "," $8,534 ", * , * ," $7,966 ",,,,,,,,
2011-12,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,80,16,20%,*,*,^^,^^," $5,111 ", * , * , * ," $8,114 ",,,,,,,,
2012-13,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,72,21,29%,*,*,^^,^^," $5,862 "," $6,185 ", * , * ," $8,239 ",,,,,,,,
2013-14,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,53,*,*,*,*,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,42,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,65,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,54,14,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,84,23,27%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,71,27,38%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,92,18,20%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,RENAISSANCE ACADEMY,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Baltimore City,RENAISSANCE ACADEMY,39,21,54%,*,*,^^,^^," $5,623 "," $5,680 ", * ," $5,521 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,RENAISSANCE ACADEMY,56,16,29%,*,*,^^,^^," $5,331 "," $5,567 ", * , * ," $7,782 ",,,,,,,,
2010-11,Baltimore City,RENAISSANCE ACADEMY,77,17,22%,*,*,^^,^^," $5,831 ", * , * , * ," $7,966 ",,,,,,,,
2011-12,Baltimore City,RENAISSANCE ACADEMY,45,*,*,*,*,*,*," $5,602 ", * , * , * ," $8,114 ",,,,,,,,
2012-13,Baltimore City,RENAISSANCE ACADEMY,64,*,*,*,*,*,*," $6,057 ", * , * , * ," $8,239 ",,,,,,,,
2013-14,Baltimore City,RENAISSANCE ACADEMY,49,*,*,*,*,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,RENAISSANCE ACADEMY,55,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,RENAISSANCE ACADEMY,68,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,RENAISSANCE ACADEMY,58,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,RENAISSANCE ACADEMY,43,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,RENAISSANCE ACADEMY,31,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,RENAISSANCE ACADEMY,30,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2008-09,Baltimore City,RISING STAR,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore City,RISING STAR,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2011-12,Baltimore City,RISING STAR,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2007-08,Baltimore City,SOUTHSIDE ACADEMY,49,16,33%,*,*,^^,^^," $6,190 ", * , * , * ," $7,537 ",,,,,,,,
2008-09,Baltimore City,SOUTHSIDE ACADEMY,52,18,35%,*,*,^^,^^," $5,808 "," $5,863 ", * ," $5,863 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,SOUTHSIDE ACADEMY,43,*,*,*,*,*,*," $5,243 ", * , * , * ," $7,782 ",,,,,,,,
2010-11,Baltimore City,SOUTHSIDE ACADEMY,68,*,*,*,*,*,*," $4,864 ", * , * , * ," $7,966 ",,,,,,,,
2011-12,Baltimore City,SOUTHSIDE ACADEMY,48,*,*,*,*,*,*," $5,198 ", * , * , * ," $8,114 ",,,,,,,,
2012-13,Baltimore City,SOUTHSIDE ACADEMY,34,*,*,*,*,*,*," $6,576 ", * , * , * ," $8,239 ",,,,,,,,
2009-10,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,48,*,*,*,*,*,*," $8,923 ", * , * , * ," $8,114 ",,,,,,,,
2012-13,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,33,*,*,*,*,*,*," $7,534 ", * , * , * ," $8,239 ",,,,,,,,
2013-14,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,41,*,*,*,*,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,48,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,89,15,17%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,90,12,13%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,100,26,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,93,20,22%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,117,21,18%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2012-13,Baltimore City,THE SEED SCHOOL OF MARYLAND,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore City,THE SEED SCHOOL OF MARYLAND,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,THE SEED SCHOOL OF MARYLAND,29,22,76%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,THE SEED SCHOOL OF MARYLAND,35,27,77%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,THE SEED SCHOOL OF MARYLAND,41,30,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,THE SEED SCHOOL OF MARYLAND,32,23,72%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,THE SEED SCHOOL OF MARYLAND,41,29,71%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,THE SEED SCHOOL OF MARYLAND,28,18,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,THURGOOD MARSHALL HIGH,117,22,19%,*,*,^^,^^," $6,571 "," $7,474 ", * , * ," $7,537 ",,,,,,,,
2008-09,Baltimore City,THURGOOD MARSHALL HIGH,86,16,19%,*,*,^^,^^," $5,833 "," $7,267 ", * ," $7,267 "," $7,601 ",,,,,,,,
2007-08,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,45,14,31%,*,*,^^,^^," $5,620 ", * , * , * ," $7,537 ",,,,,,,,
2008-09,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,57,12,21%,*,*,^^,^^," $5,545 ", * , * , * ," $7,601 ",,,,,,,,
2009-10,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,49,12,25%,*,*,*,*," $6,883 ", * , * , * ," $7,782 ",,,,,,,,
2010-11,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,84,29,35%,*,*,^^,^^," $7,198 "," $7,584 ", * ," $7,595 "," $7,966 ",,,,,,,,
2011-12,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,91,19,21%,*,*,^^,^^," $7,286 "," $8,909 ", * ," $8,909 "," $8,114 ",,,,,,,,
2012-13,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,71,13,18%,*,*,*,*," $6,869 ", * , * , * ," $8,239 ",,,,,,,,
2013-14,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,68,18,27%,*,*,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,84,15,18%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,78,18,23%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,67,27,40%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,74,19,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,77,26,34%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,63,18,29%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,W.E.B. DUBOIS HIGH,122,34,28%,*,*,^^,^^," $5,162 "," $6,267 ", * ," $6,159 "," $7,537 ",,,,,,,,
2008-09,Baltimore City,W.E.B. DUBOIS HIGH,120,26,22%,*,*,^^,^^," $6,540 "," $8,863 ", * ," $6,149 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,W.E.B. DUBOIS HIGH,157,33,21%,*,*,^^,^^," $5,756 "," $5,727 ", * ," $4,893 "," $7,782 ",,,,,,,,
2010-11,Baltimore City,W.E.B. DUBOIS HIGH,137,26,19%,*,*,^^,^^," $6,164 "," $4,575 ", * ," $4,575 "," $7,966 ",,,,,,,,
2011-12,Baltimore City,W.E.B. DUBOIS HIGH,115,26,23%,*,*,^^,^^," $6,717 "," $9,350 ", * , * ," $8,114 ",,,,,,,,
2012-13,Baltimore City,W.E.B. DUBOIS HIGH,91,13,14%,*,*,*,*," $5,546 ", * , * , * ," $8,239 ",,,,,,,,
2013-14,Baltimore City,W.E.B. DUBOIS HIGH,36,*,*,*,*,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,W.E.B. DUBOIS HIGH,26,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore City,WESTERN HIGH,175,110,63%,49,45%,61,56%," $6,760 "," $6,732 "," $8,956 "," $6,215 "," $7,537 ",,,,,,,,
2008-09,Baltimore City,WESTERN HIGH,185,127,69%,76,60%,51,40%," $7,849 "," $8,868 "," $9,350 "," $7,048 "," $7,601 ",,,,,,,,
2009-10,Baltimore City,WESTERN HIGH,200,125,63%,57,46%,68,54%," $6,872 "," $7,124 "," $8,452 "," $6,068 "," $7,782 ",,,,,,,,
2010-11,Baltimore City,WESTERN HIGH,202,151,75%,77,51%,74,49%," $7,505 "," $7,746 "," $8,782 "," $6,491 "," $7,966 ",,,,,,,,
2011-12,Baltimore City,WESTERN HIGH,198,144,73%,78,54%,66,46%," $8,041 "," $8,669 "," $10,171 "," $6,868 "," $8,114 ",,,,,,,,
2012-13,Baltimore City,WESTERN HIGH,204,120,59%,66,55%,54,45%," $8,450 "," $8,698 "," $9,827 "," $8,347 "," $8,239 ",,,,,,,,
2013-14,Baltimore City,WESTERN HIGH,243,148,61%,86,58%,62,42%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore City,WESTERN HIGH,257,127,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,WESTERN HIGH,271,162,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,WESTERN HIGH,237,139,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,WESTERN HIGH,231,142,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,WESTERN HIGH,216,133,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,WESTERN HIGH,209,131,63%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2008-09,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore City,WILLIAM S. BAER SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2012-13,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,BALTIMORE COUNTY DETENTION CENTER,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Baltimore County,BATTLE MONUMENT SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Baltimore County,BRIDGE CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Baltimore County,BRIDGE CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Baltimore County,BRIDGE CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Baltimore County,BRIDGE CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Baltimore County,BRIDGE CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Baltimore County,BRIDGE CENTER,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
