date,location,county
2022-05-11,"1010 FRENCHTOWN RD PERRYVILLE, MD",Cecil
2022-11-06,"1237 CEDAR CORNER RD PERRYVILLE, MD",Cecil
2022-07-27,"175 SAINT MARKS CHURCH PERRYVILLE, MD",Cecil
2022-01-18,"514 FRONT ST PERRYVILLE, MD",Cecil
2022-04-14,"641 BROAD ST PERRYVILLE, MD",Cecil
2022-06-30,"PERRYLAWN DR/TURNPIKE D PORT DEPOSIT, MD",Cecil
2022-12-02,"11 DAISY LN PORT DEPOSIT, MD",Cecil
2022-12-23,"145 HONEYSUCKLE DR PORT DEPOSIT, MD",Cecil
2022-02-24,"180 DOCTOR JACK RD PORT DEPOSIT, MD",Cecil
2022-03-03,"180 DOCTOR JACK RD PORT DEPOSIT, MD",Cecil
2022-08-19,"190 PRINCIPIO RD PORT DEPOSIT, MD",Cecil
2022-09-14,"2 LAREDO LN PORT DEPOSIT, MD",Cecil
2022-12-21,"21 MAPLE HILL DR PORT DEPOSIT, MD",Cecil
2022-03-05,"2390 FRENCHTOWN RD PORT DEPOSIT, MD",Cecil
2022-03-01,"JACKSON PARK RD/CEDAR DR PORT DEPOSIT, MD",Cecil
2022-07-25,"1 VETERANS HOSPITAL PERRY POINT VA, MD",Cecil
2022-03-17,"RAZOR STRAP RD/PULASKI NORTH EAST, MD",Cecil
2022-01-20,"10 MANOR CT RISING SUN, MD",Cecil
2022-01-27,"111 SPRING HILL RD RISING SUN, MD",Cecil
2022-12-25,"1148 CALVERT RD RISING SUN, MD",Cecil
2022-02-05,"1168 CALVERT RD RISING SUN, MD",Cecil
2022-10-21,"121 W MAPLE HEIGHTS CT RISING SUN, MD",Cecil
2022-08-08,"1585 THEODORE RD RISING SUN, MD",Cecil
2022-07-28,"1972 CONOWINGO RD RISING SUN, MD",Cecil
2022-08-27,"327 RYAN DR RISING SUN, MD",Cecil
2022-08-12,"ROAD 6 LEFT ST/COW ELKTON, MD",Cecil
2022-11-19,"WILLOW OAK CT/OLDFIELD ELKTON, MD",Cecil
2022-02-02,"193 ROCK SPRINGS RD CONOWINGO, MD",Cecil
2022-10-25,"150 HOWARD ST ELKTON, MD",Cecil
2022-11-07,"360 MALONEY RD ELKTON, MD",Cecil
