call_number,date,location,district,neighborhood,zip_code
P221751337,2022-06-24,1100 WASHINGTON BL BALTIMORE MD,SD,Washington Village/Pigtown,21230
P221760280,2022-06-25,2200 ROSLYN AV BALTIMORE MD,SW,Mount Holly,21216
P221762942,2022-06-25,5000 DENVIEW WY BALTIMORE MD,NE,Frankford,21206
P221763914,2022-06-25,6600 PIONEER DR BALTIMORE MD,NE,Hamilton Hills,21214
P221773224,2022-06-26,1400 BLK N ROSE ST BALTIMORE MD,ED,Berea,21213
P220741787,2022-03-15,2300 GARRISON BL BALTIMORE MD,NW,Garwyn Oaks,21216
P220744131,2022-03-15,800 N LINWOOD AV BALTIMORE MD,ED,Madison-Eastend,21205
P220751994,2022-03-16,PULASKI HY and N DEAN ST BALTIMORE MD,ED,Orangeville,21224
P220772816,2022-03-18,FREDERICK AV and NORTH BEND RD BALTIMORE MD,SW,Beechfield,21228
P220773519,2022-03-18,S PRESIDENT ST and E PRATT ST BALTIMORE MD,SE,Jonestown,21202
P221793674,2022-06-28,W NORTHERN PY and PARK HEIGHTS AV BALTIMORE MD,NW,Glen,21215
P221813140,2022-06-30,E NORTH AV and AISQUITH ST BALTIMORE MD,ED,Oliver,21202
P221814759,2022-06-30,5500 PARK HEIGHTS AV BALTIMORE MD,NW,Pimlico Good Neighbors,21215
P221823004,2022-07-01,HARFORD RD and BONAPARTE AV BALTIMORE MD,ED,East Baltimore Midway,21218
P223071490,2022-11-03,100 INTERNATIONAL DR BALTIMORE MD,SE,Inner Harbor,21202
P223072740,2022-11-03,3500 HAYWARD AV BALTIMORE MD,NW,Arlington,21215
P220780022,2022-03-19,3300 PULASKI HY BALTIMORE MD,SE,Ellwood Park/Monument,21224
P220784276,2022-03-19,W 0ST ST and N CHARLES ST BALTIMORE MD,ND,Charles North,21218
P220784766,2022-03-19,4800 YELLOWWOOD AV BALTIMORE MD,ND,Coldspring,21209
P220802857,2022-03-21,POPLAR GROVE ST and W LANVALE ST BALTIMORE MD,SW,Mosher,21216
P220803654,2022-03-21,4400 BLK MORAVIA RD BALTIMORE MD,NE,Frankford,21206
P220803706,2022-03-21,MANNASOTA AV and MORAVIA RD BALTIMORE MD,NE,Frankford,21206
P221823428,2022-07-01,E FAYETTE ST and N EDEN ST BALTIMORE MD,SE,Washington Hill,21231
P221823671,2022-07-01,2700 E FEDERAL ST BALTIMORE MD,ED,Berea,21213
P221830831,2022-07-02,WASHINGTON BL and DESOTO RD BALTIMORE MD,SW,Morrell Park,21230
P221833590,2022-07-02,3900 PARK HEIGHTS AV BALTIMORE MD,NW,Greenspring,21215
P221833623,2022-07-02,2200 PENROSE AV BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P221840055,2022-07-03,N FREMONT AV and WINCHESTER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221842454,2022-07-03,500 W PRESTON ST BALTIMORE MD,CD,Heritage Crossing,21201
P221844150,2022-07-03,800 RADNOR AV BALTIMORE MD,ND,Winston-Govans,21212
P220823002,2022-03-23,2200 CEDLEY ST BALTIMORE MD,SD,Westport,21230
P220834476,2022-03-24,200 ALBEMARLE ST BALTIMORE MD,SE,Little Italy,21202
P223384209,2022-12-04,1800 W LAFAYETTE AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P223403744,2022-12-06,2500 WOODLAND AV BALTIMORE MD,ND,Cylburn,21209
P221852679,2022-07-04,1800 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P221882466,2022-07-07,1400 W BALTIMORE ST BALTIMORE MD,WD,Franklin Square,21223
P220872118,2022-03-28,500 E EAGER ST BALTIMORE MD,ED,Penn-Fallsway,21202
P220872344,2022-03-28,MONDAWMIN MALL BALTIMORE MD,WD,Mondawmin,21215
P220884538,2022-03-29,1400 BLOOMFIELD AV BALTIMORE MD,SW,Violetville,21227
P222213711,2022-08-09,1800 E 29TH ST BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P221281462,2022-05-08,2200 N FULTON AV BALTIMORE MD,WD,Parkview/Woodbrook,21217
P221282297,2022-05-08,W NORTH AV and PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222382214,2022-08-26,HOPKINS PL and W LOMBARD ST BALTIMORE MD,CD,Downtown,21201
P222392304,2022-08-27,400 BLK BLOOM ST BALTIMORE MD,CD,Druid Heights,21217
P222421904,2022-08-30,300 N GILMOR ST BALTIMORE MD,WD,Franklin Square,21223
P223521445,2022-12-18,3100 E FAIRMOUNT AV BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P223552636,2022-12-21,2100 AIKEN ST BALTIMORE MD,ED,East Baltimore Midway,21218
P223560520,2022-12-22,5600 YORK RD BALTIMORE MD,ND,Homeland,21212
P220032288,2022-01-03,2900 EDISON HY BALTIMORE MD,NE,Belair-Edison,21213
P220042226,2022-01-04,1700 WILLIAM ST BALTIMORE MD,SD,Riverside,21230
P220042673,2022-01-04,300 W PRESTON ST BALTIMORE MD,CD,Madison Park,21201
P220052296,2022-01-05,600 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P221891859,2022-07-08,900 VALLEY ST BALTIMORE MD,ED,Oldtown,21202
P221894051,2022-07-08,3100 CHESLEY AV BALTIMORE MD,NE,North Harford Road,21234
P221902328,2022-07-09,2400 WOODBROOK AV BALTIMORE MD,WD,Penn North,21217
P221911892,2022-07-10,2500 VIOLET AV BALTIMORE MD,NW,Park Circle,21215
P221312209,2022-05-11,1600 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221312237,2022-05-11,2400 JEFFERSON ST BALTIMORE MD,SE,McElderry Park,21205
P222422619,2022-08-30,N FULTON AV and W LEXINGTON ST BALTIMORE MD,WD,Franklin Square,21223
P222432969,2022-08-31,500 GLENWOOD AV BALTIMORE MD,ND,Woodbourne-McCabe,21212
P222434934,2022-08-31,1700 E COLD SPRING LN BALTIMORE MD,NE,Morgan State University,21251
P222444073,2022-09-01,ASHTON ST and S BENTALOU ST BALTIMORE MD,SW,Millhill,21223
P223563498,2022-12-22,2400 BARCLAY ST BALTIMORE MD,ED,Barclay,21218
P220053031,2022-01-05,SB I 100 S AT E FAYETTE ST BALTIMORE MD,CD,Downtown,21202
P220061041,2022-01-06,3800 SHANNON DR BALTIMORE MD,NE,Belair-Edison,21213
P220061823,2022-01-06,100 S PRESIDENT ST BALTIMORE MD,SE,Jonestown,21202
P220062598,2022-01-06,1200 W PRATT ST BALTIMORE MD,SD,Washington Village/Pigtown,21223
P220063253,2022-01-06,300 E 22ND ST BALTIMORE MD,ED,Barclay,21218
P220073010,2022-01-07,3300 RAMONA AV BALTIMORE MD,NE,Belair-Edison,21213
P221931390,2022-07-12,2400 LOCH RAVEN RD BALTIMORE MD,ED,East Baltimore Midway,21218
P220923606,2022-04-02,100 SORRENTO AV BALTIMORE MD,SW,Irvington,21229
P220944322,2022-04-04,0 W OSTEND ST BALTIMORE MD,SD,Federal Hill,21230
P221322117,2022-05-12,3300 BENSON AV BALTIMORE MD,SW,Violetville,21229
P221332481,2022-05-13,900 VALLEY ST BALTIMORE MD,ED,Oldtown,21202
P221333674,2022-05-13,2200 BARCLAY ST BALTIMORE MD,ED,Barclay,21218
P221340219,2022-05-14,1000 MOSHER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221342294,2022-05-14,5600 THE ALAMEDA BALTIMORE MD,ND,Woodbourne Heights,21239
P221343346,2022-05-14,2500 WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P222453118,2022-09-02,2000 N CHARLES ST BALTIMORE MD,ND,Charles North,21218
P222460189,2022-09-03,1000 UPNOR RD BALTIMORE MD,ND,Cameron Village,21212
P222463423,2022-09-03,1500 N WOODYEAR ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P223632790,2022-12-29,1000 W LOMBARD ST BALTIMORE MD,SD,Hollins Market,21223
P220102396,2022-01-10,1600 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P221981011,2022-07-17,N FULTON AV and PENNSYLVANIA AV BALTIMORE MD,WD,Parkview/Woodbrook,21217
P221992261,2022-07-18,2600 HOLLINS FERRY RD BALTIMORE MD,SD,Lakeland,21230
P221992790,2022-07-18,S PACA ST and W BALTIMORE ST BALTIMORE MD,CD,Downtown,21201
P220964409,2022-04-06,900 S LAKEWOOD AV BALTIMORE MD,SE,Canton,21224
P221022476,2022-04-12,500 CHATEAU AV BALTIMORE MD,ND,Winston-Govans,21212
P221361959,2022-05-16,PENNSYLVANIA AV and LAURENS ST BALTIMORE MD,CD,Upton,21217
P221364495,2022-05-16,2000 HILLENWOOD RD BALTIMORE MD,NE,Perring Loch,21239
P221372999,2022-05-17,2000 BLK MCELDERRY ST BALTIMORE MD,ED,CARE,21205
P221373029,2022-05-17,2000 W LANVALE ST BALTIMORE MD,WD,Midtown-Edmondson,21217
P221373519,2022-05-17,1500 N WOLFE ST BALTIMORE MD,ED,Broadway East,21213
P221373950,2022-05-17,400 S ANN ST BALTIMORE MD,SE,Upper Fells Point,21231
P222493335,2022-09-06,1300 BLK SCHEELER AV BALTIMORE MD,NE,Pulaski Industrial Area,21237
P222500207,2022-09-07,W NORTH AV and PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P222012049,2022-07-20,1900 BLK N HOWARD ST BALTIMORE MD,ND,Charles North,21201
P222021307,2022-07-21,6500 ROSEMONT AV BALTIMORE MD,NE,Rosemont East,21206
P222031802,2022-07-22,W BALTIMORE ST and N MARTIN LUTHER KING JR BL BALTIMORE MD,WD,Poppleton,21201
P221052024,2022-04-15,S PAYSON ST and ASHTON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221374641,2022-05-17,2300 HERKIMER ST BALTIMORE MD,SW,Morrell Park,21230
P221391610,2022-05-19,3100 W BELVEDERE AV BALTIMORE MD,NW,Central Park Heights,21215
P221393926,2022-05-19,DUNDALK AV and HOLABIRD AV BALTIMORE MD,SE,Graceland Park,21222
P221401619,2022-05-20,E MADISON ST and N LUZERNE AV BALTIMORE MD,ED,Milton-Montford,21205
P221403283,2022-05-20,1100 HOMESTEAD ST BALTIMORE MD,ND,Better Waverly,21218
P222515146,2022-09-08,1600 LAURENS ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222531341,2022-09-10,2600 GREENMOUNT AV BALTIMORE MD,ND,Better Waverly,21218
P222531949,2022-09-10,2400 E NORTH AV BALTIMORE MD,ED,Broadway East,21213
P222532339,2022-09-10,3600 BROOKLYN AV BALTIMORE MD,SD,Brooklyn,21225
P220192423,2022-01-19,2500 E MONUMENT ST BALTIMORE MD,ED,McElderry Park,21205
P222040505,2022-07-23,2500 LIBERTY HEIGHTS AV BALTIMORE MD,NW,Burleith-Leighton,21215
P222044009,2022-07-23,E 0RD ST and GREENMOUNT AV BALTIMORE MD,ND,Abell,21218
P222063845,2022-07-25,3600 JUNEWAY BALTIMORE MD,NE,Belair-Edison,21213
P221054396,2022-04-15,3400 ELGIN AV BALTIMORE MD,SW,Mount Holly,21216
P221082912,2022-04-18,4400 PARKTON ST BALTIMORE MD,SW,Yale Heights,21229
P221101752,2022-04-20,GARRISON BL and PENHURST AV BALTIMORE MD,NW,Dolfield,21215
P221421112,2022-05-22,4600 W NORTHERN PY BALTIMORE MD,NW,Grove Park,21215
P221432173,2022-05-23,4200 ROLAND VIEW AV BALTIMORE MD,ND,Greenspring,21215
P221432563,2022-05-23,800 N MILTON AV BALTIMORE MD,ED,Milton-Montford,21205
P222542946,2022-09-11,2400 E LAFAYETTE AV BALTIMORE MD,ED,Broadway East,21213
P222543008,2022-09-11,900 E PATAPSCO AV BALTIMORE MD,SD,Brooklyn,21225
P222552276,2022-09-12,WHITELOCK ST and WOODBROOK AV BALTIMORE MD,WD,Penn North,21217
P222552816,2022-09-12,CHURCH SQUARE SHOPPING CENTER BALTIMORE MD,ED,Gay Street,21205
P222571572,2022-09-14,500 BLK W LEXINGTON ST BALTIMORE MD,CD,Downtown,21201
P220262831,2022-01-26,700 DRUID PARK LAKE DR BALTIMORE MD,CD,Reservoir Hill,21217
P222084222,2022-07-27,EXECUTIVE INN BALTIMORE MD,NW,Reisterstown Station,21215
P222094285,2022-07-28,3700 7TH ST BALTIMORE MD,SD,Brooklyn,21225
P222102097,2022-07-29,WATERVIEW AV and CHERRY HILL RD BALTIMORE MD,SD,Westport,21230
P221104100,2022-04-20,4300 ARIZONA AV BALTIMORE MD,NE,Frankford,21206
P221113608,2022-04-21,500 BLK N PORT ST BALTIMORE MD,SE,McElderry Park,21205
P221113718,2022-04-21,S FREDERICK ST and WATER ST BALTIMORE MD,CD,Downtown,21202
P221133606,2022-04-23,400 ELRINO ST BALTIMORE MD,SE,Bayview,21224
P221453373,2022-05-25,100 PARK AV BALTIMORE MD,CD,Downtown,21201
P221460844,2022-05-26,3900 PENNINGTON AV BALTIMORE MD,SD,Curtis Bay,21226
P222583011,2022-09-15,1700 N CHARLES ST BALTIMORE MD,CD,Charles North,21201
P222583327,2022-09-15,3100 SOUTHLAND AV BALTIMORE MD,SD,Cherry Hill,21225
P222584965,2022-09-15,900 VALLEY ST BALTIMORE MD,ED,Oldtown,21202
P222590600,2022-09-16,3700 ELM AV BALTIMORE MD,ND,Hampden,21211
P222592188,2022-09-16,500 S PAYSON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P222600777,2022-09-17,2100 E BALTIMORE ST BALTIMORE MD,SE,Butcher's Hill,21231
P220293162,2022-01-29,1400 BENJAMIN ST BALTIMORE MD,SD,Locust Point,21230
P222132950,2022-08-01,W BALTIMORE ST and S CARROLLTON AV BALTIMORE MD,WD,Hollins Market,21223
P222141859,2022-08-02,1200 W PRATT ST BALTIMORE MD,SD,Washington Village/Pigtown,21223
P222142379,2022-08-02,1300 E PATAPSCO AV BALTIMORE MD,SD,Curtis Bay,21225
P221153321,2022-04-25,3800 10TH ST BALTIMORE MD,SD,Brooklyn,21225
P221170509,2022-04-27,200 ATHOLGATE LN BALTIMORE MD,SW,Ten Hills,21229
P221501842,2022-05-30,PARK HEIGHTS AV and W GARRISON AV BALTIMORE MD,NW,Central Park Heights,21215
P222601905,2022-09-17,1700 DUNDALK AV BALTIMORE MD,SE,Broening Manor,21222
P222603204,2022-09-17,1000 W 41ST ST BALTIMORE MD,ND,Hoes Heights,21211
P220331956,2022-02-02,5600 GREENHILL AV BALTIMORE MD,NE,Frankford,21206
P220344050,2022-02-03,3700 BLK ELM AV BALTIMORE MD,ND,Hampden,21211
P222172095,2022-08-05,1800 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21230
P222183979,2022-08-06,FARRING BAYBROOK PARK PLAYGROUND BALTIMORE MD,SD,Brooklyn,21225
P221192422,2022-04-29,W PRATT ST and S CAREY ST BALTIMORE MD,SD,Union Square,21223
P221200042,2022-04-30,2400 LAKEVIEW AV BALTIMORE MD,CD,Reservoir Hill,21217
P221511630,2022-05-31,E FAYETTE ST and N CONKLING ST BALTIMORE MD,SE,Baltimore Highlands,21224
P221512500,2022-05-31,1800 SPENCE ST BALTIMORE MD,SW,Morrell Park,21230
P221521283,2022-06-01,2600 GILES RD BALTIMORE MD,SD,Cherry Hill,21225
P221524035,2022-06-01,1500 BLK WHITELOCK ST BALTIMORE MD,WD,Penn North,21217
P222630864,2022-09-20,2500 WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P222641033,2022-09-21,1600 COLE ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222643160,2022-09-21,1800 E NORTH AV BALTIMORE MD,ED,Broadway East,21213
P222650655,2022-09-22,1500 ST PAUL ST BALTIMORE MD,CD,Charles North,21202
P222201921,2022-08-08,MONDAWMIN MALL BALTIMORE MD,WD,Mondawmin,21215
P222202624,2022-08-08,S MONROE ST and RAMSAY ST BALTIMORE MD,SD,Carrollton Ridge,21223
P222212343,2022-08-09,3600 WOODLAND AV BALTIMORE MD,NW,Lucille Park,21215
P222220553,2022-08-10,800 LINDEN AV BALTIMORE MD,CD,Mount Vernon,21201
P222221415,2022-08-10,2500 E MONUMENT AV BALTIMORE MD,ED,McElderry Park,21205
P222234213,2022-08-11,1100 N STOCKTON ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221560955,2022-06-05,3800 BELAIR RD BALTIMORE MD,NE,Belair-Edison,21213
P221562106,2022-06-05,3200 ELMLEY AV BALTIMORE MD,NE,Belair-Edison,21213
P222661059,2022-09-23,GARRISON BL and FERNHILL AV BALTIMORE MD,NW,Dolfield,21215
P222683656,2022-09-25,1600 INGRAM RD BALTIMORE MD,NE,Perring Loch,21239
P222694845,2022-09-26,3300 BLK BARCLAY ST BALTIMORE MD,ND,Abell,21218
P220412743,2022-02-10,1800 N FULTON AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P220413205,2022-02-10,1700 N FULTON AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P220430694,2022-02-12,1700 WILKENS AV BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P220433365,2022-02-12,3600 SPRINGDALE AV BALTIMORE MD,NW,Forest Park,21216
P222244291,2022-08-12,E LOMBARD ST and S BROADWAY BALTIMORE MD,SE,Washington Hill,21231
P222251806,2022-08-13,LIGHT RAIL - WESTPORT BALTIMORE MD,SD,Westport,21230
P222253996,2022-08-13,4000 GWYNN OAK AV BALTIMORE MD,NW,West Arlington,21215
P222254466,2022-08-13,500 N ELLWOOD AV BALTIMORE MD,SE,Ellwood Park/Monument,21205
P222270843,2022-08-15,2500 BLK WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P221592664,2022-06-08,2700 BLK E FAYETTE ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P221602733,2022-06-09,W NORTH AV and W MT ROYAL AV BALTIMORE MD,CD,Bolton Hill,21217
P221612522,2022-06-10,7100 HARFORD RD BALTIMORE MD,NE,North Harford Road,21234
P222713022,2022-09-28,2400 LIBERTY HEIGHTS AV BALTIMORE MD,WD,Mondawmin,21215
P222715100,2022-09-28,400 N MONTFORD AV BALTIMORE MD,SE,McElderry Park,21224
P222292030,2022-08-17,2300 PENNSYLVANIA AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P222292966,2022-08-17,200 BLK N FULTON AV BALTIMORE MD,WD,Franklin Square,21223
P222294265,2022-08-17,2600 FOERSTER AV BALTIMORE MD,SD,Westport,21230
P222302499,2022-08-18,2400 CALLOW AV BALTIMORE MD,CD,Reservoir Hill,21217
P222303808,2022-08-18,2800 EDMONDSON AV BALTIMORE MD,WD,Penrose/Fayette Street Outreach,21223
P221612816,2022-06-10,1000 N CAREY ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P221620510,2022-06-11,S HANOVER ST and E PATAPSCO AV BALTIMORE MD,SD,Brooklyn,21225
P221631767,2022-06-12,LIGHT RAIL - WESTPORT BALTIMORE MD,SD,Westport,21230
P222734651,2022-09-30,1200 LINWORTH AV BALTIMORE MD,NE,New Northwood,21239
P222770903,2022-10-04,5500 MIDWOOD AV BALTIMORE MD,ND,Cameron Village,21212
P222323661,2022-08-20,N FRONT ST and E LEXINGTON ST BALTIMORE MD,SE,Jonestown,21202
P222340290,2022-08-22,E PATAPSCO AV and S HANOVER ST BALTIMORE MD,SD,Brooklyn,21225
P221661874,2022-06-15,3400 MAYFIELD AV BALTIMORE MD,NE,Belair-Edison,21213
P221670702,2022-06-16,2100 MARYLAND AV BALTIMORE MD,ND,Charles North,21218
P221680187,2022-06-17,900 W SARATOGA ST BALTIMORE MD,WD,Poppleton,21223
P221682804,2022-06-17,W NORTH AV and N MOUNT ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222784350,2022-10-05,4100 HARRIS AV BALTIMORE MD,NE,Belair-Parkside,21206
P222784855,2022-10-05,1900 LETITIA AV BALTIMORE MD,SW,Morrell Park,21230
P222792680,2022-10-06,2400 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P220483275,2022-02-17,100 W HEATH ST BALTIMORE MD,SD,South Baltimore,21230
P220483671,2022-02-17,2600 FRANCIS ST BALTIMORE MD,WD,Penn North,21217
P220520472,2022-02-21,3300 NOBLE ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P222352959,2022-08-23,400 BLK N BOULDIN ST BALTIMORE MD,SE,Ellwood Park/Monument,21224
P222363108,2022-08-24,4200 AUDREY AV BALTIMORE MD,SD,Brooklyn,21225
P222370170,2022-08-25,4300 GARRISON BL BALTIMORE MD,NW,Dolfield,21215
P223643022,2022-12-30,1800 N WASHINGTON ST BALTIMORE MD,ED,Broadway East,21213
P223651807,2022-12-31,5200 ASHLAND AV BALTIMORE MD,NE,Armistead Gardens,21205
P220112879,2022-01-11,4300 PIMLICO RD BALTIMORE MD,NW,Greenspring,21215
P220121114,2022-01-12,800 N PATTERSON PARK AV BALTIMORE MD,ED,Middle East,21205
P221691359,2022-06-18,2600 PENNSYLVANIA AV BALTIMORE MD,WD,Penn North,21217
P221702098,2022-06-19,2400 ASHLAND AV BALTIMORE MD,ED,Milton-Montford,21205
P221223650,2022-05-02,6000 BELLONA AV BALTIMORE MD,ND,Homeland,21212
P221234639,2022-05-03,1100 E 33RD ST BALTIMORE MD,NE,Better Waverly,21218
P220011463,2022-01-01,N CALHOUN ST and LAURENS ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222814970,2022-10-08,2000 HOMEWOOD AV BALTIMORE MD,ED,East Baltimore Midway,21218
P220542105,2022-02-23,VIOLET AV and COTTAGE AV BALTIMORE MD,NW,Park Circle,21215
P220542130,2022-02-23,700 N FREMONT AV BALTIMORE MD,WD,Harlem Park,21217
P222374352,2022-08-25,2400 WESTPORT ST BALTIMORE MD,SD,Westport,21230
P222383961,2022-08-26,500 W FAYETTE ST BALTIMORE MD,CD,Downtown,21201
P222390989,2022-08-27,2200 WILKENS AV BALTIMORE MD,SW,Carrollton Ridge,21223
P222421939,2022-08-30,400 E 25TH ST BALTIMORE MD,ND,Barclay,21218
P220132652,2022-01-13,5700 BEECHDALE AV BALTIMORE MD,NE,Loch Raven,21239
P220133300,2022-01-13,W LAFAYETTE AV and N PULASKI ST BALTIMORE MD,WD,Midtown-Edmondson,21217
P220133559,2022-01-13,6400 REISTERSTOWN RD BALTIMORE MD,NW,Glen,21215
P220133887,2022-01-13,4800 SNADER AV BALTIMORE MD,NW,Lucille Park,21215
P220142141,2022-01-14,E FAIRMOUNT AV and N STREEPER ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P221410062,2022-05-21,2600 SPELMAN RD BALTIMORE MD,SD,Cherry Hill,21225
P221443218,2022-05-24,1000 BLK LAURENS ST BALTIMORE MD,WD,Upton,21217
P221443598,2022-05-24,WHITMORE AV and W LAFAYETTE AV BALTIMORE MD,WD,Bridgeview/Greenlawn,21216
P221722104,2022-06-21,4800 ELISON AV BALTIMORE MD,NE,Parkside,21206
P221732328,2022-06-22,4600 BLK GARRISON BL BALTIMORE MD,NW,Dolfield,21215
P220032453,2022-01-03,6500 HOLABIRD AV BALTIMORE MD,SE,Broening Manor,21224
P220033146,2022-01-03,100 S PRESIDENT ST BALTIMORE MD,SE,Jonestown,21202
P220041360,2022-01-04,3000 THORNDALE AV BALTIMORE MD,NW,Central Park Heights,21215
P220050778,2022-01-05,LINDEN AV and W NORTH AV BALTIMORE MD,CD,Bolton Hill,21217
P220051846,2022-01-05,2300 LIBERTY HEIGHTS AV BALTIMORE MD,WD,Mondawmin,21215
P220052985,2022-01-05,YORK RD and HARWOOD AV BALTIMORE MD,ND,Homeland,21212
P222830167,2022-10-10,FERNHILL AV and GWYNN OAK AV BALTIMORE MD,NW,West Arlington,21215
P222842330,2022-10-11,600 CHERRY HILL RD BALTIMORE MD,SD,Cherry Hill,21225
P220571942,2022-02-26,BROOKFIELD AV and LENNOX ST BALTIMORE MD,CD,Reservoir Hill,21217
P220602578,2022-03-01,600 BLK N ROSE ST BALTIMORE MD,SE,McElderry Park,21205
P222423945,2022-08-30,METRO STATION - ROGERS AV BALTIMORE MD,NW,Woodmere,21215
P222440049,2022-09-01,6200 FORTVIEW WY BALTIMORE MD,SE,O'Donnell Heights,21224
P220171804,2022-01-17,800 GLADE CT BALTIMORE MD,SD,Brooklyn,21225
P220182118,2022-01-18,RIGGS AV and N STRICKER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220182217,2022-01-18,4500 BELAIR RD BALTIMORE MD,NE,Frankford,21206
P220183085,2022-01-18,3400 HOLMES AV BALTIMORE MD,WD,Parkview/Woodbrook,21217
P221751493,2022-06-24,3700 BLK ARCADIA AV BALTIMORE MD,NW,Central Park Heights,21215
P221761155,2022-06-25,300 S BRUCE ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P221761675,2022-06-25,6500 EBERLE DR BALTIMORE MD,NW,Reisterstown Station,21215
P221780445,2022-06-27,2400 MARYLAND AV BALTIMORE MD,ND,Old Goucher,21218
P220062868,2022-01-06,DOLFIELD AV and GARRISON BL BALTIMORE MD,NW,Dolfield,21215
P220092086,2022-01-09,1400 W 36TH ST BALTIMORE MD,ND,Hampden,21211
P222862988,2022-10-13,500 N MONROE ST BALTIMORE MD,WD,Midtown-Edmondson,21223
P220603173,2022-03-01,700 DRUID PARK LAKE DR BALTIMORE MD,CD,Reservoir Hill,21217
P220610906,2022-03-02,3500 LEVERTON AV BALTIMORE MD,SE,Baltimore Highlands,21224
P220630166,2022-03-04,800 EASTERN AV BALTIMORE MD,SE,Inner Harbor,21202
P220633194,2022-03-04,900 QUANTRIL WY BALTIMORE MD,NE,Armistead Gardens,21205
P222484387,2022-09-05,1700 DUNDALK AV BALTIMORE MD,SE,Graceland Park,21222
P220220116,2022-01-22,3800 HAYWARD AV BALTIMORE MD,NW,Arlington,21215
P220222755,2022-01-22,1700 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P220222996,2022-01-22,1500 MOSHER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220223127,2022-01-22,2700 E FAIRMOUNT AV BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P220230860,2022-01-23,300 N HILTON ST BALTIMORE MD,SW,Allendale,21229
P220231542,2022-01-23,2500 BOYD ST BALTIMORE MD,SW,Shipley Hill,21223
P221783073,2022-06-27,3100 CHESLEY AV BALTIMORE MD,NE,North Harford Road,21234
P221790434,2022-06-28,2400 MARYLAND AV BALTIMORE MD,ND,Old Goucher,21218
P220101663,2022-01-10,N MARTIN LUTHER KING JR BL and PENNSYLVANIA AV BALTIMORE MD,CD,Seton Hill,21201
P222504868,2022-09-07,6500 HARFORD RD BALTIMORE MD,NE,Westfield,21214
P222522646,2022-09-09,1600 E MONUMENT ST BALTIMORE MD,ED,Gay Street,21287
P222531153,2022-09-10,4200 ST GEORGES AV BALTIMORE MD,ND,Pen Lucy,21212
P222531611,2022-09-10,DUNDALK AV and HOLABIRD AV BALTIMORE MD,SE,Graceland Park,21222
P222531974,2022-09-10,WESTSIDE SHOPPING CENTER BALTIMORE MD,SW,Millhill,21223
P222883468,2022-10-15,600 PENNSYLVANIA AV BALTIMORE MD,CD,Seton Hill,21201
P220243179,2022-01-24,POTEE ST and W PATAPSCO AV BALTIMORE MD,SD,Brooklyn,21225
P221813646,2022-06-30,400 PONTIAC AV BALTIMORE MD,SD,Brooklyn,21225
P221820712,2022-07-01,1600 E MONUMENT ST BALTIMORE MD,ED,Gay Street,21287
P221831851,2022-07-02,1600 N BOND ST BALTIMORE MD,ED,Oliver,21213
P221833058,2022-07-02,W PRESTON ST and N EUTAW ST BALTIMORE MD,CD,Madison Park,21201
P221833588,2022-07-02,E PRATT ST and S CALVERT ST BALTIMORE MD,CD,Inner Harbor,21202
P222532512,2022-09-10,E 0ND ST and GREENMOUNT AV BALTIMORE MD,ED,Barclay,21218
